lapTime	speed_Mph	gas	brake	steer	gear	x	y	z
62.388	64.05492401123047	0.6394897699356079	0.0	45.180152893066406	3	-234.9433135986328	-72.54383850097656	-20.822965621948242
62.412	64.2039566040039	0.6405101418495178	0.0	45.180152893066406	3	-234.2574462890625	-72.500244140625	-20.861286163330078
62.454	64.45201873779297	0.6424999833106995	0.0	45.05430221557617	3	-233.05245971679688	-72.4239273071289	-20.910659790039062
62.487	64.60440826416016	0.6464795470237732	0.0	44.63479995727539	3	-232.1024627685547	-72.36270904541016	-20.932233810424805
62.523	64.79723358154297	0.6514796018600464	0.0	44.04750061035156	3	-231.06312561035156	-72.29444122314453	-20.938257217407227
62.556	64.98326110839844	0.6484693884849548	0.0	43.46019744873047	3	-230.1077117919922	-72.23017120361328	-20.927101135253906
62.589	65.15380096435547	0.6514796018600464	0.0	42.663150787353516	3	-229.1501922607422	-72.16327667236328	-20.898889541625977
62.622	65.32576751708984	0.6524489521980286	0.0	41.82415008544922	3	-228.1909637451172	-72.09396362304688	-20.85407257080078
62.655	65.52252960205078	0.6584183573722839	0.0	41.027099609375	3	-227.22996520996094	-72.02291870117188	-20.793306350708008
62.688	65.70453643798828	0.6564285755157471	0.0	40.355899810791016	3	-226.26744079589844	-71.94986724853516	-20.71674346923828
62.733	65.91371154785156	0.6634183526039124	0.0	39.055450439453125	3	-224.95428466796875	-71.84265899658203	-20.586776733398438
62.766	66.12467956542969	0.6614285707473755	0.0	37.88085174560547	3	-223.98992919921875	-71.76100158691406	-20.474149703979492
62.79	66.36820983886719	0.6684184074401855	0.0	37.419403076171875	3	-223.28662109375	-71.70155334472656	-20.385662078857422
62.823	66.49911499023438	0.6664285659790039	0.0	36.37065124511719	3	-222.31912231445312	-71.6168441772461	-20.25364875793457
62.865	66.71952819824219	0.6704081296920776	0.0	34.860450744628906	3	-221.08602905273438	-71.5099105834961	-20.070749282836914
62.901	66.97700500488281	0.676377534866333	0.0	33.18244934082031	3	-220.02676391601562	-71.4198989868164	-19.902454376220703
62.934	67.16458129882812	0.6833673715591431	0.0	31.588350296020508	3	-219.0541534423828	-71.33673095703125	-19.73831558227539
62.967	67.3729476928711	0.6873469352722168	0.0	30.32984733581543	3	-218.08056640625	-71.24964141845703	-19.564983367919922
63.0	67.58993530273438	0.6933163404464722	0.0	29.07135009765625	3	-217.10523986816406	-71.16251373291016	-19.383150100708008
63.033	67.91448974609375	0.6992856860160828	0.0	27.5611515045166	3	-216.1266632080078	-71.07379913330078	-19.193830490112305
63.066	68.05995178222656	0.7032652497291565	0.0	26.134849548339844	3	-215.1472930908203	-70.98336791992188	-18.997119903564453
63.099	68.24774932861328	0.7102550864219666	0.0	24.037349700927734	3	-214.1667022705078	-70.89383697509766	-18.79149055480957
63.123	68.31076049804688	0.7102550864219666	0.0	22.317399978637695	3	-213.45372009277344	-70.82901000976562	-18.636505126953125
63.156	68.53955078125	0.7152551412582397	0.0	19.506750106811523	3	-212.47251892089844	-70.73902130126953	-18.41509246826172
63.189	68.81712341308594	0.7192347049713135	0.0	16.905851364135742	3	-211.4898223876953	-70.64869689941406	-18.184219360351562
63.222	69.03713989257812	0.7212244868278503	0.0	14.556649208068848	3	-210.5059356689453	-70.55718231201172	-17.941734313964844
63.255	69.22206115722656	0.7232142686843872	0.0	12.081600189208984	3	-209.5218963623047	-70.46560668945312	-17.688499450683594
63.288	69.39920043945312	0.7242347002029419	0.0	9.690449714660645	3	-208.5376739501953	-70.37467956542969	-17.425403594970703
63.321	69.57752227783203	0.7291836142539978	0.0	7.383200168609619	3	-207.5533905029297	-70.28377532958984	-17.152637481689453
63.354	69.78043365478516	0.7302041053771973	0.0	5.0759501457214355	3	-206.5688018798828	-70.19217681884766	-16.870521545410156
63.39	70.04338836669922	0.7291836142539978	0.0	2.2233498096466064	3	-205.49388122558594	-70.09154510498047	-16.552248001098633
63.423	70.26761627197266	0.7282142639160156	0.0	-0.8389999270439148	3	-204.50772094726562	-69.99797821044922	-16.2508487701416
63.444	70.40628814697266	0.7271938920021057	0.0	-2.726749897003174	3	-203.8797149658203	-69.93807220458984	-16.05488395690918
63.477	70.6207504272461	0.7291836142539978	0.0	-5.663249492645264	3	-202.89183044433594	-69.84375762939453	-15.74151611328125
63.51	70.81342315673828	0.7302041053771973	0.0	-8.431949615478516	3	-201.902587890625	-69.7479476928711	-15.422968864440918
63.543	71.00505828857422	0.7302041053771973	0.0	-11.158699989318848	3	-200.9116973876953	-69.64995574951172	-15.1011962890625
63.579	71.27226257324219	0.734183669090271	0.0	-13.633749961853027	3	-199.8276824951172	-69.54098510742188	-14.747993469238281
63.612	71.50053405761719	0.7361734509468079	0.0	-15.521499633789062	3	-198.83056640625	-69.43901824951172	-14.423189163208008
63.633	71.63968658447266	0.7371428608894348	0.0	-16.69610023498535	3	-198.1942596435547	-69.37350463867188	-14.216769218444824
